Year;Month;Day;Latitude;Longitude;AOD1
2000;11;12;-118.201;  33.860;  -1.000
2000;11;15;-118.201;  33.860;  -1.000
2000;11;16;-118.201;  33.860;  -1.000
2000;11;17;-118.201;  33.860;  -1.000
2000;11;18;-118.201;  33.860;   0.190
2000;11;19;-118.201;  33.860;  -1.000
2000;11;23;-118.201;  33.860;   0.180
2000;11;25;-118.201;  33.860;   0.180
2000;11;26;-118.201;  33.860;  -1.000
2000;11;27;-118.201;  33.860;   0.340
2000;11;28;-118.201;  33.860;  -1.000
2000;11;30;-118.201;  33.860;   0.460
2000;12;2;-118.201;  33.860;   0.390
2000;12;3;-118.201;  33.860;  -1.000
2000;12;16;-118.201;  33.860;   0.080
2000;12;17;-118.201;  33.860;  -1.000
2000;12;18;-118.201;  33.860;   0.130
2000;12;21;-118.201;  33.860;  -1.000
2000;12;22;-118.201;  33.860;  -1.000
2000;12;23;-118.201;  33.860;  -1.000
2000;12;24;-118.201;  33.860;  -1.000
2000;12;25;-118.201;  33.860;   0.180
2000;12;26;-118.201;  33.860;   0.100
2000;12;27;-118.201;  33.860;   0.160
2000;12;28;-118.201;  33.860;   0.090
2000;12;29;-118.201;  33.860;   0.150
2000;12;31;-118.201;  33.860;   0.190
2001;1;1;-118.201;  33.860;  -1.000
2001;1;2;-118.201;  33.860;  -1.000
2001;1;3;-118.201;  33.860;   0.090
2001;1;4;-118.201;  33.860;  -1.000
2001;1;6;-118.201;  33.860;  -1.000
2001;1;9;-118.201;  33.860;  -1.000
2001;1;13;-118.201;  33.860;  -1.000
2001;1;14;-118.201;  33.860;   0.480
2001;1;15;-118.201;  33.860;  -1.000
2001;1;16;-118.201;  33.860;  -1.000
2001;1;17;-118.201;  33.860;   0.150
2001;1;20;-118.201;  33.860;  -1.000
2001;1;22;-118.201;  33.860;  -1.000
2001;1;25;-118.201;  33.860;  -1.000
2001;1;30;-118.201;  33.860;   0.350
2001;1;31;-118.201;  33.860;  -1.000
2001;2;1;-118.201;  33.860;   0.320
2001;2;2;-118.201;  33.860;  -1.000
2001;2;3;-118.201;  33.860;  -1.000
2001;2;4;-118.201;  33.860;   0.150
2001;2;7;-118.201;  33.860;  -1.000
2001;2;8;-118.201;  33.860;   0.310
2001;2;15;-118.201;  33.860;   0.280
2001;2;16;-118.201;  33.860;  -1.000
2001;2;21;-118.201;  33.860;  -1.000
2001;3;1;-118.201;  33.860;  -1.000
2001;3;12;-118.201;  33.860;   0.270
2001;3;13;-118.201;  33.860;   0.350
2001;3;14;-118.201;  33.860;  -1.000
2001;3;15;-118.201;  33.860;  -1.000
2001;3;17;-118.201;  33.860;   0.280
2001;3;18;-118.201;  33.860;  -1.000
2001;3;19;-118.201;  33.860;   0.130
2001;3;27;-118.201;  33.860;  -1.000
2001;3;30;-118.201;  33.860;  -1.000
2001;4;8;-118.201;  33.860;  -1.000
2001;4;10;-118.201;  33.860;   0.470
2001;4;13;-118.201;  33.860;  -1.000
2001;4;14;-118.201;  33.860;  -1.000
2001;4;15;-118.201;  33.860;  -1.000
2001;4;16;-118.201;  33.860;   0.380
2001;4;17;-118.201;  33.860;   0.400
2001;4;22;-118.201;  33.860;   0.450
2001;4;23;-118.201;  33.860;  -1.000
2001;4;24;-118.201;  33.860;  -1.000
2001;4;25;-118.201;  33.860;   0.030
2001;4;26;-118.201;  33.860;  -1.000
2001;4;30;-118.201;  33.860;   0.260
2001;5;3;-118.201;  33.860;   0.340
