Year;Month;Day;Latitude;Longitude;AOD1
2000;10;17;  77.315;  28.651;   0.300
2000;10;18;  77.315;  28.651;  -1.000
2000;10;19;  77.315;  28.651;   1.340
2000;10;20;  77.315;  28.651;   0.700
2000;10;21;  77.315;  28.651;  -1.000
2000;10;22;  77.315;  28.651;   1.050
2000;10;23;  77.315;  28.651;  -1.000
2000;10;24;  77.315;  28.651;   0.540
2000;10;25;  77.315;  28.651;  -1.000
2000;10;26;  77.315;  28.651;  -1.000
2000;10;28;  77.315;  28.651;  -1.000
2000;10;29;  77.315;  28.651;   0.980
2000;10;30;  77.315;  28.651;   0.610
2000;10;31;  77.315;  28.651;  -1.000
2000;11;1;  77.315;  28.651;  -1.000
2000;11;2;  77.315;  28.651;   0.740
2000;11;3;  77.315;  28.651;  -1.000
2000;11;4;  77.315;  28.651;   1.070
2000;11;5;  77.315;  28.651;   0.910
2000;11;6;  77.315;  28.651;   0.570
2000;11;7;  77.315;  28.651;   0.350
2000;11;8;  77.315;  28.651;  -1.000
2000;11;9;  77.315;  28.651;   0.250
2000;11;10;  77.315;  28.651;  -1.000
2000;11;11;  77.315;  28.651;  -1.000
2000;11;13;  77.315;  28.651;  -1.000
2000;11;14;  77.315;  28.651;  -1.000
2000;11;15;  77.315;  28.651;   0.290
2000;11;16;  77.315;  28.651;  -1.000
2000;11;17;  77.315;  28.651;  -1.000
2000;11;18;  77.315;  28.651;  -1.000
2000;11;19;  77.315;  28.651;  -1.000
2000;11;20;  77.315;  28.651;   0.460
2000;11;21;  77.315;  28.651;   0.790
2000;11;22;  77.315;  28.651;   0.760
2000;11;24;  77.315;  28.651;  -1.000
2000;11;25;  77.315;  28.651;   0.260
2000;11;26;  77.315;  28.651;  -1.000
2000;11;28;  77.315;  28.651;  -1.000
2000;11;29;  77.315;  28.651;  -1.000
2000;11;30;  77.315;  28.651;   0.260
2000;12;1;  77.315;  28.651;  -1.000
2000;12;2;  77.315;  28.651;   0.190
2000;12;3;  77.315;  28.651;  -1.000
2000;12;4;  77.315;  28.651;   0.280
2000;12;5;  77.315;  28.651;   0.420
2000;12;6;  77.315;  28.651;  -1.000
2000;12;7;  77.315;  28.651;   0.360
2000;12;8;  77.315;  28.651;  -1.000
2000;12;9;  77.315;  28.651;   0.290
2000;12;10;  77.315;  28.651;   0.510
2000;12;11;  77.315;  28.651;   0.380
2000;12;13;  77.315;  28.651;  -1.000
2000;12;14;  77.315;  28.651;  -1.000
2000;12;15;  77.315;  28.651;  -1.000
2000;12;18;  77.315;  28.651;  -1.000
2000;12;19;  77.315;  28.651;  -1.000
2000;12;20;  77.315;  28.651;   0.120
2000;12;21;  77.315;  28.651;  -1.000
2000;12;22;  77.315;  28.651;  -1.000
2000;12;23;  77.315;  28.651;   0.340
2000;12;24;  77.315;  28.651;   0.750
2000;12;25;  77.315;  28.651;   0.440
2000;12;27;  77.315;  28.651;  -1.000
2000;12;28;  77.315;  28.651;  -1.000
2000;12;29;  77.315;  28.651;  -1.000
2000;12;31;  77.315;  28.651;  -1.000
2001;1;6;  77.315;  28.651;  -1.000
2001;1;7;  77.315;  28.651;  -1.000
2001;1;13;  77.315;  28.651;  -1.000
2001;1;14;  77.315;  28.651;  -1.000
2001;1;17;  77.315;  28.651;  -1.000
2001;1;19;  77.315;  28.651;   0.450
2001;1;20;  77.315;  28.651;  -1.000
2001;1;21;  77.315;  28.651;  -1.000
2001;1;22;  77.315;  28.651;  -1.000
2001;1;23;  77.315;  28.651;  -1.000
2001;1;24;  77.315;  28.651;   0.190
2001;1;25;  77.315;  28.651;   0.260
2001;1;26;  77.315;  28.651;  -1.000
2001;1;27;  77.315;  28.651;  -1.000
2001;1;28;  77.315;  28.651;   0.290
2001;1;29;  77.315;  28.651;  -1.000
2001;1;31;  77.315;  28.651;  -1.000
2001;2;1;  77.315;  28.651;   0.210
2001;2;2;  77.315;  28.651;   0.160
2001;2;3;  77.315;  28.651;  -1.000
2001;2;4;  77.315;  28.651;   0.290
2001;2;5;  77.315;  28.651;   0.600
2001;2;6;  77.315;  28.651;  -1.000
2001;2;7;  77.315;  28.651;  -1.000
2001;2;8;  77.315;  28.651;  -1.000
2001;2;9;  77.315;  28.651;   0.160
2001;2;10;  77.315;  28.651;  -1.000
2001;2;11;  77.315;  28.651;  -1.000
2001;2;12;  77.315;  28.651;  -1.000
2001;2;16;  77.315;  28.651;  -1.000
2001;2;17;  77.315;  28.651;   0.490
2001;2;18;  77.315;  28.651;   0.300
2001;2;19;  77.315;  28.651;  -1.000
2001;2;20;  77.315;  28.651;   0.600
2001;2;21;  77.315;  28.651;   0.480
2001;2;25;  77.315;  28.651;   0.890
2001;2;26;  77.315;  28.651;  -1.000
2001;2;28;  77.315;  28.651;  -1.000
2001;3;1;  77.315;  28.651;   0.270
2001;3;2;  77.315;  28.651;  -1.000
2001;3;3;  77.315;  28.651;  -1.000
2001;3;5;  77.315;  28.651;  -1.000
2001;3;6;  77.315;  28.651;   0.480
2001;3;7;  77.315;  28.651;   0.270
2001;3;8;  77.315;  28.651;   0.240
2001;3;9;  77.315;  28.651;  -1.000
2001;3;10;  77.315;  28.651;  -1.000
2001;3;11;  77.315;  28.651;  -1.000
2001;3;12;  77.315;  28.651;  -1.000
2001;3;13;  77.315;  28.651;  -1.000
2001;3;14;  77.315;  28.651;  -1.000
2001;3;15;  77.315;  28.651;   0.280
2001;3;16;  77.315;  28.651;   0.200
2001;3;17;  77.315;  28.651;  -1.000
2001;3;18;  77.315;  28.651;   0.270
2001;3;19;  77.315;  28.651;  -1.000
2001;3;20;  77.315;  28.651;  -1.000
2001;3;22;  77.315;  28.651;   0.710
2001;3;23;  77.315;  28.651;  -1.000
2001;3;24;  77.315;  28.651;  -1.000
2001;3;25;  77.315;  28.651;  -1.000
2001;3;26;  77.315;  28.651;   0.390
2001;3;27;  77.315;  28.651;  -1.000
2001;3;29;  77.315;  28.651;   0.590
2001;3;31;  77.315;  28.651;  -1.000
2001;4;1;  77.315;  28.651;   0.490
2001;4;2;  77.315;  28.651;   0.450
2001;4;3;  77.315;  28.651;  -1.000
2001;4;4;  77.315;  28.651;   0.430
2001;4;6;  77.315;  28.651;  -1.000
2001;4;7;  77.315;  28.651;   0.120
2001;4;8;  77.315;  28.651;   0.420
2001;4;9;  77.315;  28.651;   0.340
2001;4;10;  77.315;  28.651;  -1.000
2001;4;11;  77.315;  28.651;   0.820
2001;4;13;  77.315;  28.651;   0.780
2001;4;14;  77.315;  28.651;   0.370
2001;4;16;  77.315;  28.651;  -1.000
2001;4;18;  77.315;  28.651;   0.460
2001;4;20;  77.315;  28.651;  -1.000
2001;4;21;  77.315;  28.651;   0.220
2001;4;22;  77.315;  28.651;  -1.000
2001;4;23;  77.315;  28.651;  -1.000
2001;4;24;  77.315;  28.651;  -1.000
2001;4;25;  77.315;  28.651;   0.480
2001;4;26;  77.315;  28.651;   0.310
2001;4;27;  77.315;  28.651;  -1.000
2001;4;28;  77.315;  28.651;  -1.000
2001;4;29;  77.315;  28.651;   0.380
2001;5;1;  77.315;  28.651;  -1.000
2001;5;2;  77.315;  28.651;   0.510
2001;5;3;  77.315;  28.651;  -1.000
2001;5;4;  77.315;  28.651;   0.260
2001;5;5;  77.315;  28.651;  -1.000
2001;5;6;  77.315;  28.651;  -1.000
2001;5;8;  77.315;  28.651;  -1.000
2001;5;9;  77.315;  28.651;  -1.000
2001;5;10;  77.315;  28.651;   1.050
2001;5;11;  77.315;  28.651;   0.690
2001;5;12;  77.315;  28.651;   0.470
2001;5;13;  77.315;  28.651;   0.710
2001;5;14;  77.315;  28.651;  -1.000
2001;5;15;  77.315;  28.651;  -1.000
2001;5;16;  77.315;  28.651;   1.420
2001;5;22;  77.315;  28.651;  -1.000
2001;5;23;  77.315;  28.651;   0.390
2001;5;25;  77.315;  28.651;  -1.000
2001;5;26;  77.315;  28.651;  -1.000
2001;5;27;  77.315;  28.651;  -1.000
2001;5;29;  77.315;  28.651;  -1.000
2001;5;31;  77.315;  28.651;  -1.000
2001;6;1;  77.315;  28.651;   0.800
2001;6;3;  77.315;  28.651;   1.370
2001;6;8;  77.315;  28.651;   0.860
2001;6;9;  77.315;  28.651;   1.310
2001;6;10;  77.315;  28.651;  -1.000
2001;6;11;  77.315;  28.651;  -1.000
2001;6;12;  77.315;  28.651;  -1.000
2001;7;6;  77.315;  28.651;   0.910
2001;7;19;  77.315;  28.651;  -1.000
2001;8;2;  77.315;  28.651;   0.930
2001;8;3;  77.315;  28.651;  -1.000
2001;8;15;  77.315;  28.651;  -1.000
2001;8;19;  77.315;  28.651;   0.920
2001;8;20;  77.315;  28.651;  -1.000
2001;8;21;  77.315;  28.651;  -1.000
2001;8;22;  77.315;  28.651;   0.750
2001;8;24;  77.315;  28.651;   0.830
2001;8;26;  77.315;  28.651;  -1.000
2001;8;27;  77.315;  28.651;   0.420
2001;8;28;  77.315;  28.651;  -1.000
2001;8;29;  77.315;  28.651;   0.620
2001;8;30;  77.315;  28.651;  -1.000
2001;8;31;  77.315;  28.651;   0.580
2001;9;1;  77.315;  28.651;   0.750
2001;9;3;  77.315;  28.651;   0.600
2001;9;4;  77.315;  28.651;  -1.000
2001;9;5;  77.315;  28.651;  -1.000
2001;9;6;  77.315;  28.651;  -1.000
2001;9;7;  77.315;  28.651;   0.690
2001;9;8;  77.315;  28.651;  -1.000
2001;9;9;  77.315;  28.651;   0.600
2001;9;10;  77.315;  28.651;  -1.000
2001;9;11;  77.315;  28.651;  -1.000
2001;9;12;  77.315;  28.651;  -1.000
2001;9;13;  77.315;  28.651;  -1.000
2001;9;14;  77.315;  28.651;  -1.000
2001;9;16;  77.315;  28.651;   0.550
2001;9;17;  77.315;  28.651;  -1.000
2001;9;18;  77.315;  28.651;   0.810
2001;9;19;  77.315;  28.651;  -1.000
2001;9;20;  77.315;  28.651;   0.290
2001;9;21;  77.315;  28.651;   0.430
2001;9;22;  77.315;  28.651;  -1.000
2001;9;23;  77.315;  28.651;   0.750
2001;9;24;  77.315;  28.651;  -1.000
2001;9;25;  77.315;  28.651;   0.660
2001;9;26;  77.315;  28.651;  -1.000
2001;9;27;  77.315;  28.651;  -1.000
2001;9;28;  77.315;  28.651;  -1.000
2001;9;29;  77.315;  28.651;   0.430
2001;10;5;  77.315;  28.651;  -1.000
2001;10;6;  77.315;  28.651;   1.380
2001;10;8;  77.315;  28.651;  -1.000
2001;10;9;  77.315;  28.651;   0.560
2001;10;10;  77.315;  28.651;  -1.000
2001;10;11;  77.315;  28.651;   0.360
2001;10;13;  77.315;  28.651;   0.340
2001;10;14;  77.315;  28.651;   1.420
2001;10;15;  77.315;  28.651;  -1.000
2001;10;16;  77.315;  28.651;   1.210
2001;10;17;  77.315;  28.651;  -1.000
2001;10;18;  77.315;  28.651;   0.690
2001;10;19;  77.315;  28.651;   0.560
2001;10;20;  77.315;  28.651;   1.600
2001;10;21;  77.315;  28.651;   1.670
2001;10;22;  77.315;  28.651;  -1.000
2001;10;23;  77.315;  28.651;  -1.000
2001;10;24;  77.315;  28.651;  -1.000
2001;10;25;  77.315;  28.651;   0.720
2001;10;26;  77.315;  28.651;  -1.000
2001;10;27;  77.315;  28.651;   0.500
2001;10;28;  77.315;  28.651;  -1.000
2001;10;29;  77.315;  28.651;   0.560
2001;10;30;  77.315;  28.651;  -1.000
2001;10;31;  77.315;  28.651;  -1.000
2001;11;1;  77.315;  28.651;   0.770
2001;11;2;  77.315;  28.651;   0.330
2001;11;3;  77.315;  28.651;   0.340
2001;11;4;  77.315;  28.651;  -1.000
2001;11;5;  77.315;  28.651;   0.480
2001;11;7;  77.315;  28.651;   0.380
2001;11;8;  77.315;  28.651;   0.520
2001;11;9;  77.315;  28.651;   0.480
2001;11;10;  77.315;  28.651;   0.410
2001;11;11;  77.315;  28.651;   0.700
2001;11;12;  77.315;  28.651;   0.350
